Category,#,Method,Endpoint,Description,Auth Required,Role,Request Body / Query Params,Success Response,Error Response
Service Health,1,GET,/,Check if the API service is online and list all available endpoints,No,Public,None,"200 - { status: 'success', message: '...', endpoints: {...} }",N/A
Authentication,2,POST,/auth/register,Register a new user account (Doctor or Patient),No,Public,"{ email, password, name, phone, role: 'doctor'|'patient' }","201 - { access_token: '...' }","400 - Validation Error | 401 - Email already exists"
Authentication,3,POST,/auth/login,Login with email and password to get a JWT access token,No,Public,"{ email, password }","200 - { access_token: '...' }","401 - Invalid credentials"
Doctor Profile,4,POST,/doctor/profile,Create the doctor's profile with specialization and scheduling type (STREAM or WAVE),Yes - JWT,doctor,"{ specialization, yearsOfExperience, qualification, bio, schedulingType: 'STREAM'|'WAVE' }","201 - DoctorProfile object","400 - Validation Error | 401 - Unauthorized"
Doctor Profile,5,GET,/doctor/profile,Get the currently logged-in doctor's profile,Yes - JWT,doctor,None,"200 - DoctorProfile object","401 - Unauthorized | 404 - Profile not found"
Doctor Profile,6,PATCH,/doctor/profile,Update the currently logged-in doctor's profile details,Yes - JWT,doctor,"{ specialization?, yearsOfExperience?, qualification?, bio?, schedulingType? }","200 - Updated DoctorProfile","401 - Unauthorized"
Doctor Directory,7,GET,/doctors,Get a list of all registered doctors (public directory),No,Public,None,"200 - Array of Doctor users","N/A"
Doctor Directory,8,GET,/doctor/:id,Get a specific doctor's details by their user ID,Yes - JWT,doctor | patient,Path param: id (UUID),"200 - Doctor user object","401 - Unauthorized | 404 - Doctor not found"
Recurring Availability,9,POST,/doctor/availability,Create a recurring weekly availability slot for specific day(s),Yes - JWT,doctor,"{ dayOfWeek | daysOfWeek[], startTime, endTime, schedulingType, capacity?, slotDuration?, bufferTime? }","201 - RecurringAvailability object","400 - Overlap conflict | 401 - Unauthorized"
Recurring Availability,10,GET,/doctor/availability,Get recurring availability slots (optionally filtered by doctorId),Yes - JWT,doctor | patient,Query: doctorId? (UUID),"200 - Array of RecurringAvailability","401 - Unauthorized"
Recurring Availability,11,PATCH,/doctor/availability/:id,Update a specific recurring availability slot by its ID,Yes - JWT,doctor,Path: id (UUID) + body with updated fields,"200 - Updated RecurringAvailability","401 - Unauthorized | 404 - Slot not found"
Recurring Availability,12,DELETE,/doctor/availability/:id,Delete a specific recurring availability slot by its ID,Yes - JWT,doctor,Path: id (UUID),"200 - Deletion confirmation","401 - Unauthorized | 404 - Slot not found"
Custom Override Availability,13,POST,/doctor/availability/override,Create a custom date-specific availability window (STREAM with slots or WAVE with capacity),Yes - JWT,doctor,"{ date, startTime, endTime, schedulingType, slotDuration?, bufferTime?, maxCapacity?, isAvailable }","201 - CustomAvailability object","400 - Validation Error | 401 - Unauthorized"
Custom Override Availability,14,GET,/doctor/availability/override,Get all custom date overrides for the logged-in doctor,Yes - JWT,doctor,None,"200 - Array of CustomAvailability","401 - Unauthorized"
Custom Override Availability,15,DELETE,/doctor/availability/override/:id,Delete a specific custom date override slot by its ID,Yes - JWT,doctor,Path: id (UUID),"200 - Deletion confirmation","401 - Unauthorized | 404 - Not found"
Effective Availability,16,GET,/doctor/availability/date,Query effective availability for a doctor on a specific date (merges override + recurring),Yes - JWT,doctor | patient,"Query: date (YYYY-MM-DD) + doctorId? (UUID)","200 - { slots: [...], waves: [...] } with STREAM slots or WAVE wave windows","400 - Invalid date | 401 - Unauthorized"
Patient Profile,17,POST,/patient/profile,Create the patient's profile with personal health information,Yes - JWT,patient,"{ age, gender, medicalHistory? }","201 - PatientProfile object","400 - Validation Error | 401 - Unauthorized"
Patient Profile,18,GET,/patient/profile,Get the currently logged-in patient's profile,Yes - JWT,patient,None,"200 - PatientProfile object","401 - Unauthorized | 404 - Profile not found"
Patient Profile,19,PATCH,/patient/profile,Update the currently logged-in patient's profile,Yes - JWT,patient,"{ age?, gender?, medicalHistory? }","200 - Updated PatientProfile","401 - Unauthorized"
Appointments,20,POST,/appointments/book,Book an appointment with a doctor (STREAM: exact slot | WAVE: sequential token),Yes - JWT,patient,"{ doctorId, date, startTime, endTime, reason }","201 - Appointment object with schedulingType + tokenNumber (WAVE)","400 - Slot unavailable | 409 - Already booked | 401 - Unauthorized"
Appointments,21,GET,/appointments/patient,Get all appointments booked by the currently logged-in patient,Yes - JWT,patient,None,"200 - Array of Appointment objects","401 - Unauthorized"
Appointments,22,GET,/appointments/doctor,Get all appointments for the currently logged-in doctor,Yes - JWT,doctor,None,"200 - Array of Appointment objects","401 - Unauthorized"
Appointments,23,PATCH,/appointments/:id/cancel,Cancel an appointment by ID (Doctor sets CANCELLED_BY_DOCTOR; Patient sets CANCELLED_BY_PATIENT),Yes - JWT,doctor | patient,Path: id (UUID),"200 - Updated Appointment with new status","401 - Unauthorized | 403 - Forbidden | 404 - Not found"
Appointments,24,PATCH,/appointments/:id/reschedule,Reschedule an existing appointment to a new date and time slot,Yes - JWT,patient,"Path: id (UUID) + body: { newDate, newStartTime, newEndTime, reason? }","200 - Updated Appointment with rescheduled slot","400 - Slot unavailable | 401 - Unauthorized | 404 - Not found"
